timestamp,x,y,z
2025-07-23 17:50:42.553,0.01,-0.96,-0.24
2025-07-23 17:50:43.555,0.01,-0.96,-0.24
2025-07-23 17:50:44.557,0.01,-0.96,-0.24
2025-07-23 17:50:45.559,0.01,-0.96,-0.24
2025-07-23 17:50:46.561,0.01,-0.97,-0.24
2025-07-23 17:50:47.563,0.01,-0.97,-0.24
2025-07-23 17:50:48.565,0.01,-0.96,-0.24
2025-07-23 17:50:49.567,0.01,-0.97,-0.24
2025-07-23 17:50:50.569,0.01,-0.97,-0.24
2025-07-23 17:50:51.572,0.01,-0.96,-0.24
2025-07-23 17:50:52.573,0.01,-0.97,-0.24
2025-07-23 17:50:53.576,0.01,-0.96,-0.24
2025-07-23 17:50:54.578,0.01,-0.97,-0.24
2025-07-23 17:50:55.580,0.01,-0.96,-0.24
2025-07-23 17:50:56.583,0.01,-0.96,-0.24
2025-07-23 17:50:57.584,0.01,-0.96,-0.24
2025-07-23 17:50:58.587,0.01,-0.97,-0.24
2025-07-23 17:50:59.589,0.01,-0.97,-0.24
2025-07-23 17:51:00.591,0.01,-0.96,-0.24
2025-07-23 17:51:01.593,0.01,-0.96,-0.24
2025-07-23 17:51:02.595,0.01,-0.97,-0.24
2025-07-23 17:51:03.597,0.01,-0.97,-0.24
2025-07-23 17:51:04.600,0.01,-0.97,-0.24
2025-07-23 17:51:05.602,0.01,-0.97,-0.24
2025-07-23 17:51:06.604,0.01,-0.97,-0.24
2025-07-23 17:51:07.605,0.01,-0.97,-0.24
2025-07-23 17:51:08.608,0.01,-0.97,-0.24
2025-07-23 17:51:09.611,0.01,-0.97,-0.24
2025-07-23 17:51:10.612,0.01,-0.97,-0.24
2025-07-23 17:51:11.614,0.01,-0.97,-0.24
2025-07-23 17:51:12.616,0.01,-0.97,-0.24
2025-07-23 17:51:13.619,0.01,-0.97,-0.24
2025-07-23 17:51:14.620,0.01,-0.97,-0.24
2025-07-23 17:51:15.623,0.01,-0.97,-0.24
2025-07-23 17:51:16.625,0.01,-0.97,-0.24
2025-07-23 17:51:17.627,0.01,-0.96,-0.24
2025-07-23 17:51:18.629,0.01,-0.96,-0.23
2025-07-23 17:51:19.631,0.01,-0.97,-0.24
2025-07-23 17:51:20.634,0.01,-0.97,-0.24
2025-07-23 17:51:21.636,0.01,-0.97,-0.24
2025-07-23 17:51:22.638,0.01,-0.97,-0.24
2025-07-23 17:51:23.640,0.01,-0.97,-0.24
2025-07-23 17:51:24.642,0.01,-0.97,-0.24
2025-07-23 17:51:25.644,0.01,-0.97,-0.24
2025-07-23 17:51:26.646,0.01,-0.97,-0.24
