ts,distance_cm,pir,event
314953,40.1,1,none
315154,39.4,1,none
315356,43.6,1,none
315559,45.1,1,none
315763,43.2,1,none
315969,52.3,1,none
316170,49.5,1,none
316372,35.9,1,none
316571,34.8,1,none
316773,34.0,1,none
316974,33.8,1,none
317176,33.9,1,none
317378,34.0,1,none
317581,34.1,1,none
317782,34.5,1,none
317985,35.1,1,none
318187,36.0,1,none
318389,36.3,1,none
318589,34.5,1,none
318791,33.5,1,none
318991,33.6,1,none
319193,34.0,1,none
319392,33.5,1,none
319593,33.8,1,none
319797,34.1,1,none
319999,35.3,1,none
320201,40.0,1,none
