ts,x,y,z
2025-09-28T06:29:47.367000Z,-0.183,0.916,-0.366
2025-09-28T06:29:47.766000Z,-0.122,0.916,-0.366
2025-09-28T06:29:48.187000Z,-0.427,0.854,-0.549
2025-09-28T06:29:48.599000Z,-0.183,0.916,-0.305
2025-09-28T06:29:48.999000Z,-0.366,0.854,-0.427
2025-09-28T06:29:50.191000Z,-0.183,0.854,-0.305
2025-09-28T06:29:50.524000Z,-0.305,0.916,-0.427
2025-09-28T06:29:50.862000Z,-0.061,0.916,-0.366
2025-09-28T06:29:51.162000Z,-0.122,0.916,-0.305
2025-09-28T06:29:52.075000Z,-0.366,0.854,-0.366
2025-09-28T06:29:52.399000Z,-0.427,0.854,-0.488
2025-09-28T06:29:52.894000Z,-0.183,0.854,-0.366
2025-09-28T06:29:53.304000Z,-0.183,0.854,-0.305
2025-09-28T06:29:53.720000Z,-0.183,0.916,-0.305
2025-09-28T06:29:54.124000Z,-0.366,0.854,-0.549
2025-09-28T06:29:54.949000Z,-0.305,0.916,-0.305
2025-09-28T06:29:55.354000Z,-0.183,0.916,-0.366
2025-09-28T06:29:55.764000Z,-0.183,0.854,-0.305
2025-09-28T06:29:56.261000Z,-0.061,0.916,-0.305
2025-09-28T06:29:56.791000Z,-0.183,0.916,-0.244
2025-09-28T06:29:57.199000Z,0.0,0.916,-0.183
2025-09-28T06:29:57.602000Z,-0.183,0.977,-0.427
2025-09-28T06:29:58.629000Z,-0.061,0.916,-0.366
2025-09-28T06:29:58.957000Z,-0.549,0.793,-0.305
2025-09-28T06:29:59.662000Z,-0.366,0.854,-0.427
2025-09-28T06:30:00.008000Z,-0.061,0.977,-0.244
2025-09-28T06:30:00.464000Z,-0.366,0.854,-0.366
2025-09-28T06:30:00.884000Z,-0.122,0.854,-0.305
2025-09-28T06:30:01.286000Z,-0.305,0.854,-0.427
2025-09-28T06:30:01.720000Z,-0.244,0.916,-0.366
2025-09-28T06:30:03.134000Z,-0.061,0.854,-0.244
2025-09-28T06:30:03.457000Z,-0.61,0.793,-0.977
2025-09-28T06:30:03.824000Z,0.183,0.916,0.488
2025-09-28T06:30:04.168000Z,-0.427,1.099,-0.732
2025-09-28T06:30:04.487000Z,-0.488,0.854,-0.305
2025-09-28T06:30:05.231000Z,0.305,0.977,-0.122
2025-09-28T06:30:05.571000Z,-0.122,0.916,-0.305
2025-09-28T06:30:06.209000Z,0.122,0.977,-0.244
2025-09-28T06:30:06.530000Z,-0.183,0.916,-0.244
2025-09-28T06:30:07.237000Z,0.183,0.916,-0.488
2025-09-28T06:30:07.544000Z,-0.549,0.793,-0.366
2025-09-28T06:30:08.263000Z,-0.488,0.854,-0.366
2025-09-28T06:30:08.572000Z,-0.061,0.916,-0.244
2025-09-28T06:30:09.370000Z,-0.122,0.916,-0.305
2025-09-28T06:30:09.695000Z,-0.305,0.854,-0.366
2025-09-28T06:30:10.044000Z,0.244,0.916,-0.183
2025-09-28T06:30:10.500000Z,-0.427,0.916,-0.427
2025-09-28T06:30:10.931000Z,-0.427,0.793,-0.427
2025-09-28T06:30:11.332000Z,-0.061,0.854,-0.366
2025-09-28T06:30:11.741000Z,-0.122,0.854,-0.366
2025-09-28T06:30:12.770000Z,-0.061,0.916,-0.366
2025-09-28T06:30:13.289000Z,0.244,0.916,-0.427
2025-09-28T06:30:14.154000Z,-0.305,0.793,-0.244
2025-09-28T06:30:14.795000Z,-0.183,0.854,-0.305
2025-09-28T06:30:15.133000Z,-0.244,0.854,-0.305
2025-09-28T06:30:15.428000Z,-0.122,0.916,-0.305
2025-09-28T06:30:15.729000Z,-0.671,0.732,-0.366
2025-09-28T06:30:16.049000Z,-0.061,0.854,-0.366
2025-09-28T06:30:16.470000Z,-0.732,0.793,-0.427
2025-09-28T06:30:16.873000Z,-0.427,0.854,-0.427
2025-09-28T06:30:17.928000Z,-0.427,0.854,-0.366
2025-09-28T06:30:18.271000Z,-0.61,0.854,-0.427
2025-09-28T06:30:18.970000Z,-0.244,0.854,-0.305
2025-09-28T06:30:19.288000Z,-0.488,0.732,-0.366
2025-09-28T06:30:19.611000Z,0.122,0.916,0.0
2025-09-28T06:30:20.133000Z,0.305,0.977,-0.061
2025-09-28T06:30:20.542000Z,0.0,0.916,-0.488
2025-09-28T06:30:20.954000Z,0.427,0.977,-0.244
2025-09-28T06:30:21.371000Z,-0.305,0.854,-0.366
2025-09-28T06:30:22.377000Z,-0.61,0.793,-0.427
2025-09-28T06:30:22.724000Z,-0.244,0.916,-0.427
2025-09-28T06:30:23.415000Z,-0.122,0.916,-0.244
2025-09-28T06:30:23.724000Z,-0.427,0.854,-0.488
2025-09-28T06:30:24.440000Z,-0.183,0.916,-0.427
2025-09-28T06:30:24.767000Z,-0.183,0.854,-0.183
